Issue ID,Issue Type,Summary,Description,Priority,Story Points,Original Estimate,Epic Name,Epic Link,Parent ID,Labels,Depends On
EPIC-01,Epic,[EPIC-01] Lead Intake API,"Цель: Надежный и быстрый прием лидов от аффилейтов через API с валидацией, дедупликацией и нормализацией, чтобы downstream-роутинг работал на чистых данных.

Метрика успеха:
- `POST /api/v1/leads` p95 latency `< 350ms`, p99 `< 800ms`
- Валидные лиды принимаются с успешностью `>= 99.5%`
- Доля нераспознанных дублей `< 3%`
- Время первой успешной интеграции нового аффилейта `< 1 рабочий день`

Зависит от: [EPIC-04], [EPIC-06]

Оценка: L (1-3 мес)",Highest,,,EPIC-01 Lead Intake API,,,"crm-prd,backlog,epic-01","[EPIC-04], [EPIC-06]"
EPIC-02,Epic,[EPIC-02] Lead Routing Engine,"Цель: Доставлять каждый валидный лид к наиболее подходящему брокеру по прозрачным правилам с минимальной задержкой и управляемыми рисками по капам/качеству.

Метрика успеха:
- p95 latency маршрутизации `<120ms`, p99 `<250ms`
- Успешный route decision для валидного лида `>=99.9%`
- Нарушения дневных капов `=0` (по данным reconciliation)
- Точность симулятора против прод-решений `>=98%`

Зависит от: [EPIC-01], [EPIC-03], [EPIC-04], [EPIC-07]

Оценка: XL (3+ мес)",Highest,,,EPIC-02 Lead Routing Engine,,,"crm-prd,backlog,epic-02","[EPIC-01], [EPIC-03], [EPIC-04], [EPIC-07]"
EPIC-03,Epic,[EPIC-03] Broker Integration Layer,"Цель: Быстро подключать брокеров через шаблоны и унифицированный слой интеграции, чтобы масштабировать дистрибуцию без кастомной разработки под каждый оффер.

Метрика успеха:
- 200+ шаблонов брокеров в каталоге на старте
- Time-to-first-successful-connection `<2h`
- Успешная синхронизация статусов `>=99%` за 5 минут

Зависит от: [EPIC-01], [EPIC-06]

Оценка: XL (3+ мес)",Highest,,,EPIC-03 Broker Integration Layer,,,"crm-prd,backlog,epic-03","[EPIC-01], [EPIC-06]"
EPIC-04,Epic,[EPIC-04] Affiliate Management,"Цель: Централизованно управлять аффилейтами, ключами и постбеками для контролируемого и масштабируемого intake.

Метрика успеха:
- Создание нового аффилейта `<10 мин`
- 100% ключей ротируются без downtime
- Доставка postback `>=99.5%`

Зависит от: [EPIC-06]

Оценка: L (1-3 мес)",Highest,,,EPIC-04 Affiliate Management,,,"crm-prd,backlog,epic-04",[EPIC-06]
EPIC-05,Epic,[EPIC-05] Lead Management UI,"Цель: Дать операционной команде быстрый и удобный интерфейс управления лидами, статусами и массовыми действиями.

Метрика успеха:
- Lead search time `<3s`
- Массовые операции 10k лидов без ошибок
- Экспорт отчетов `<60s`

Зависит от: [EPIC-01], [EPIC-03], [EPIC-06]

Оценка: L (1-3 мес)",Highest,,,EPIC-05 Lead Management UI,,,"crm-prd,backlog,epic-05","[EPIC-01], [EPIC-03], [EPIC-06]"
EPIC-06,Epic,[EPIC-06] User Accounts & RBAC,"Цель: Обеспечить безопасный доступ пользователей с гибкими ролями и полной изоляцией компаний.

Метрика успеха:
- 100% критичных операций закрыты RBAC
- 2FA adoption `>=70%` у админов
- 0 кросс-company data leak инцидентов

Оценка: L (1-3 мес)",Highest,,,EPIC-06 User Accounts & RBAC,,,"crm-prd,backlog,epic-06",
EPIC-07,Epic,[EPIC-07] Anti-Fraud System,"Цель: Выявлять и блокировать фродовые лиды в реальном времени с unlimited fraud checks как ключевым конкурентным преимуществом.

Метрика успеха:
- Fraud score вычисляется `<250ms p95`
- Доля выявленного high-risk fraud `>=90%` на размеченной выборке
- Unlimited checks без тарифных лимитов и without throttling penalty

Зависит от: [EPIC-01], [EPIC-06]

Оценка: L (1-3 мес)",Highest,,,EPIC-07 Anti-Fraud System,,,"crm-prd,backlog,epic-07","[EPIC-01], [EPIC-06]"
EPIC-08,Epic,[EPIC-08] Autologin & Proxy Pipeline,"Цель: Автоматически логинить лидов на стороне брокера с контролем device fingerprint и прокси-качества, чтобы повышать конверсию в депозит.

Метрика успеха:
- Успешность автологина `>=97%`
- Среднее время 4-stage pipeline `<12s`
- Detection rate device reuse `>=90%`

Зависит от: [EPIC-03], [EPIC-07]

Оценка: L (1-3 мес)",High,,,EPIC-08 Autologin & Proxy Pipeline,,,"crm-prd,backlog,epic-08","[EPIC-03], [EPIC-07]"
EPIC-09,Epic,[EPIC-09] Automated Lead Delivery (UAD),"Цель: Автоматизировать переотправку лидов по сценариям и расписанию для восстановления выручки по отказным лидам.

Метрика успеха:
- Recovery conversion uplift `>=12%`
- Автоматическая обработка отказных лидов `>=85%`
- Ошибки UAD jobs `<1%`

Зависит от: [EPIC-02], [EPIC-03]

Оценка: L (1-3 мес)",High,,,EPIC-09 Automated Lead Delivery (UAD),,,"crm-prd,backlog,epic-09","[EPIC-02], [EPIC-03]"
EPIC-10,Epic,[EPIC-10] Analytics Dashboard v1,"Цель: Стать BI-layer в нише affiliate marketing: time-series, P&L, drill-down, ROI и предиктивные предупреждения как ключевое конкурентное преимущество.

Метрика успеха:
- 80% daily-active клиентов используют аналитический модуль
- Time-to-insight для ключевого вопроса `<60 секунд`
- Retention uplift после внедрения аналитики `>=15%`

Зависит от: [EPIC-01], [EPIC-02], [EPIC-12], [EPIC-18]

Оценка: XL (3+ мес)",High,,,EPIC-10 Analytics Dashboard v1,,,"crm-prd,backlog,epic-10","[EPIC-01], [EPIC-02], [EPIC-12], [EPIC-18]"
