index,start,end,text
0,0.0,2.6,Do you hear me better now?
1,2.6,4.2,"Yes, yes, yes."
2,4.2,9.12,"Perfect, apologies, my AirPods weren't connected."
3,9.12,10.12,Nice to meet you finally.
4,10.12,13.12,"Yeah, nice to meet you too."
5,13.12,15.12,How are you?
6,15.12,16.92,"Great bro, thank you."
7,16.92,17.92,Very good.
8,17.92,20.64,Working today as usual.
9,20.64,21.64,How are you?
10,21.64,23.24,Are you all good here?
11,23.24,25.12,"All good, working as usual as well."
12,25.12,29.96,Are you alone in your team or do you have more partners or maybe I'm playing with you?
13,29.96,31.88,Do you have employees that are working with you?
14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.
15,49.28,55.4,Partners want to build their own network.
16,55.4,57.76,"I see, I see."
17,57.76,69.8,I have a media buying team and we are starting work together and now we are looking for CRM
18,69.8,85.56,"system for better work because Altair CPA, what I tell you before, have not full functional"
19,86.28,88.24,what we need.
20,88.24,103.56,I think with the other CRM system we can improve our ROI to more than with Altair CPA.
21,104.56,107.24,"Yes, yes, yes."
22,107.24,119.4,So our system can definitely help you scale as we've had big clients working with it and
23,119.4,121.04,are working with it.
24,121.04,124.84,So I'm convinced we can help you scale if necessary.
25,124.84,128.6,I don't know Altair CPA that well.
26,128.6,133.48,So we're in a different price range as well.
27,133.48,138.36,I think you pay 400 for the pro version at the moment.
28,138.36,140.76,I looked at the site.
29,140.76,141.76,Yes.
30,141.76,146.4,"It looks like a nice system, don't get me wrong."
31,146.4,150.16,But I will show you ours and you can be the judge of that.
32,150.16,161.44,"For media buying, I don't know if you will greatly benefit with the features we have just"
33,161.44,162.72,to be transparent with you.
34,162.72,167.64,I always want to be honest because if we work together it needs to be in your advantage
35,167.64,169.92,as well.
36,169.92,178.96,But I will show you the system and you can say what you or make your own conclusions
37,178.96,179.96,one moment.
38,179.96,185.04,I'm going to share my screen.
39,185.04,189.6,We work with your system with some partners.
40,189.6,196.52,"For example, it's JBO."
41,196.52,199.24,Your system is good.
42,199.24,207.92,"What we see, you have a good fraud system."
43,207.92,208.92,Yes.
44,208.92,217.88,That's something you will not fully see in the demo but I can explain it.
45,217.88,226.88,Because fraud analysis is something that we don't have open by default for everyone.
46,226.88,229.52,But I will explain more about that.
47,229.52,231.92,One moment I'm searching the right screen.
48,231.92,236.56,You should be able to see it now.
49,236.56,239.56,I think.
50,239.56,240.68,All right.
51,240.68,248.68,"So basically if you are the main user of our system, this is the first screen that you"
52,248.68,250.24,will see when you log in.
53,250.24,251.44,It's a dashboard.
54,251.44,254.24,I think you're a bit familiar with that.
55,254.24,256.12,So it's self-explanatory.
56,256.12,265.24,You have some widget that shows you a quick overview of your whole system.
57,265.24,266.88,It's very customizable.
58,266.88,268.8,You can set it up the way you want.
59,268.8,272.32,It auto refreshes so you can leave it open if you want.
60,272.32,276.04,You can collapse the sidebar so you have a bit more space.
61,276.04,278.2,And you can compose it the way that you want.
62,278.2,282.68,You can add extra widgets if necessary.
63,282.68,285.4,Or you can remove the ones that you don't want.
64,285.4,289.52,You can always remove the widgets from the dashboard.
65,289.52,294.76,Our whole system works on a preference time zone.
66,294.76,295.76,What does that mean?
67,295.76,298.72,So the system is not dedicated to one time zone.
68,298.72,304.24,"If you work in, for example, let me say plus one, you can switch it to plus one and the"
69,304.24,306.12,statistics will change.
70,306.12,310.2,"And if you set something up, it will be in the correct time zone as well."
71,310.2,314.2,"But throughout the demo, you will see you always have an option to schedule in a certain"
72,314.2,315.64,time zone.
73,315.64,319.96,So the system does calculation in the back end.
74,319.96,323.72,Let's set up this one.
75,323.72,330.0,We have a very extensive notification system.
76,330.0,335.68,"I will show you more later, but this is already like a bit of a preview."
77,335.68,342.2,Here you can see your notifications and all set up notifications.
78,342.2,345.68,You are in the crypto slash forex space.
79,345.68,355.2,"So you know there are always the three big pillars of the system are clients slash brokers,"
80,355.2,356.72,media buyers slash affiliates.
81,356.72,362.96,"And you have the rotations, the how we call it, the distributions of your traffic."
82,362.96,365.64,So I will start out with media buyers.
83,365.64,369.56,Here you can see less media buyers.
84,369.56,373.56,You can set up everything.
85,373.56,377.0,Sorry.
86,377.0,387.0,Let's move like you make presentation for affiliate network.
87,387.0,397.16,Because I tell to my friend your features and this and all not like for media buying
88,397.16,399.16,mostly for network.
89,399.16,400.16,"No, no, no, no."
90,400.16,401.16,But it doesn't differ much.
91,401.16,402.16,It's only the name in the system.
92,402.16,404.44,"Look, I can show you something."
93,404.44,406.44,I can make this.
94,406.44,414.72,Affiliate and this is the way and the system will work because underwater it doesn't change
95,414.72,416.72,much for us.
96,417.44,419.28,Understand.
97,419.28,426.64,So you can set up everything for this certain partners.
98,426.64,430.12,What you see here are some general settings.
99,430.12,435.36,So the status you can decline it or you can put it back to pending.
100,435.36,437.44,That means it's integrating.
101,437.44,441.12,But we have a support team that takes care of everything.
102,441.12,443.24,I don't know.
103,443.24,448.24,Did you talk with someone about our system or you only saw it through the partners?
104,448.24,453.24,"Bro, can you repeat?"
105,453.24,454.48,Yeah.
106,454.48,461.16,So did someone recommend the system to you or did you only see it by logging in on the
107,461.16,462.96,networks you work with?
108,462.96,463.96,Yeah.
109,463.96,464.96,Second way.
110,464.96,465.96,Okay.
111,465.96,473.68,So maybe also important usually that something most of the potential clients are aware of.
112,473.68,478.56,So we also offer dedicated support to our clients.
113,478.56,479.56,What does that mean?
114,479.56,484.32,There is someone available for you from 8 in the morning until 10 in the evening on
115,484.32,486.8,the time.
116,486.8,490.92,"They basically help you with everything you need, of course, related to the system."
117,490.92,497.32,"But also if you need, for example, an integration with a network or broker, you just invite"
118,497.32,502.56,the dedicated support account to the group you run with a broker or network and they
119,502.56,506.56,"will do everything for you and you'll just get a ping, okay, you can start working with"
120,506.56,511.76,them and you just need to set up the distribution.
121,511.76,518.0,"We also, we can help you with landing pages and so on, but I will come back to that later."
122,518.12,523.6,"I just wanted to emphasize if you, for example, have a pending affiliate as a network, we"
123,523.6,526.84,have the sign up page and affiliate signs up.
124,526.84,532.56,"You'll get an email, okay, there's an affiliate that's waiting for approval and you can approve"
125,532.56,537.44,"and if the affiliate cannot integrate himself, you can also just contact our support and"
126,537.44,543.04,they will talk to him on how to integrate with the system.
127,543.08,549.96,So we really try to take care of most things so that our partners can focus on their business
128,549.96,554.24,and not jibberish with tech.
